No,Fe,Cr,Mn,Si,Co,Mo,Ni,C,N,B,P,S,Al,Ti,Nb,Ta,Pb,Cu,Pre-irr,Irr,Temp,Stre,Dis,Swell
508,66.1385,16.7736,1.2211,0.450582,0.0647202,2.39763,12.6763,0.0958925,0.0677784,0.00149978,0.0105884,0.00717673,0.00164654,0.0012349,0.00411634,0,0,0.087651,2.25932,6.85932,541.378,83.5618,162349000000000.00,5.23878
509,65.0816,16.5231,1.77291,0.524553,0.0541789,2.47992,13.2829,0.0561193,0.0283284,0.000232465,0.0215149,0.0143209,0.00902982,0.0180596,0.00902982,0.0180596,0.0180596,0.0880596,0,13.3539,654.38,0,1453200000000000.00,-0.110458
510,68.8206,15.5076,1.2066,0.432584,0.0711235,2.36739,11.4019,0.0470365,0.0320786,0.00178876,0.01,0.0065927,0.00162922,0.00122191,0.00407304,0,0,0.0877809,0,3.93618,586.418,0,1328600000000000.00,0.902195
511,67.232,16.8191,1.03925,0.0765847,0.0944163,2.33408,12.1953,0.0465667,0.0454832,0.00129834,0.01,0.00771666,0.000566678,0.000425009,0.0014167,0,0,0.0957499,1.69091,7.41509,502.917,13.4586,180000000000000.00,15.2821
512,65.4856,16.9362,1.07022,1.25643,0.0862698,2.40157,12.5589,0.0452944,0.043645,0.00108831,0.01,0.00756854,0.000862915,0.000647186,0.00215729,0,0,0.0935281,1.4509,6.61558,406.256,29.1234,1285820000000000.00,0.159214
513,65.293,16.4445,1.63228,0.488255,0.0165102,2.48826,13.4395,0.0527517,0.0115034,0.00185335,0.013302,0.00847653,0.00565102,0.00767789,0.01,0.0055034,0.0055034,0.0755034,0,8.80337,501.067,45.6643,180000000000000.00,5.6548
514,66.5992,16.9623,1.0118,0.433426,0.102463,2.34959,12.1959,0.122655,0.103805,0.000916486,0.0109315,0.00786296,0.000274084,0.000205563,0.00068521,0,0,0.0979444,3.57688,8.17688,606.912,13.9098,152056000000000.00,8.22387
515,66.8264,16.9435,0.995119,0.397751,0.109665,2.34292,12.1749,0.0472584,0.0462106,0.000489472,0.01,0.00691388,0.000344495,0.000258371,0.000861237,0,0,0.0974163,3.44531,8.10928,603.55,17.4831,152584000000000.00,11.1349
516,65.3485,16.45,1.58,0.48,0,2.48,13.5,0.05,0.006,0.0025,0.01,0.006,0.004,0.003,0.01,0,0,0.07,0,4.55421,409.466,21.3059,2046310000000000.00,1.14403
517,65.142,17.1621,1.63996,0.629909,0.0599636,2.37506,12.7729,0.05,0.00150273,0.000626136,0.0159964,0.0157441,1.00E-03,7.51E-04,2.50E-03,0,0,0.129964,0,7.14606,493.73,23.7932,180000000000000.00,5.24889
518,65.6596,16.6203,1.52139,0.473168,0.0753466,2.45168,12.9301,0.0560099,0.0339802,0.00185347,0.0164752,0.0116238,0.00693069,0.0138614,0.00693069,0.0138614,0.0138614,0.0930693,0,9.33861,605.693,0,1441390000000000.00,3.03544
519,65.2793,16.4431,1.64518,0.490292,2.06E-02,2.49029,13.4245,0.0534305,0.012861,0.00169383,0.0141166,0.00908747,0.00605831,0.00883188,0.01,6.86E-03,6.86E-03,0.076861,0,8.49262,449.707,262.779,180000000000000.00,1.93131
520,65.3278,16.4479,1.59948,0.483076,0.00615175,2.48308,13.4774,0.0510253,0.00805058,0.00225906,0.0112304,0.00692276,0.00461518,0.004743,0.01,0.00205058,0.00205058,0.0720506,0,9.26911,481.326,142.698,366603000000000.00,1.19491
521,65.3624,16.5068,1.6792,0.496031,0.0669846,2.48206,13.118,0.0532948,0.040528,0.000296677,0.0203237,0.0138825,0.00860308,0.0172062,0.00860308,0.0172062,0.0172062,0.0913969,0.536419,8.49162,675.92,0,881261000000000.00,0.915084
522,64.8509,17.1115,0.957412,1.91973,0.107007,2.4119,12.4202,0.045136,0.0488029,0.00104081,0.01,0.00697279,0.000108825,8.16E-05,0.000272063,0,0,0.108912,0,3.52646,571.518,2.82946,180000000000000.00,0.211015
523,65.3485,16.45,1.58,0.48,0,2.48,13.5,0.05,0.006,0.0025,0.01,0.006,0.004,0.003,0.01,0,0,0.07,0,2.60963,447,86.7107,1573020000000000.00,1.73849
524,65.9135,16.8942,1.15843,0.834204,0.0968413,2.39211,12.4769,0.0489476,0.042947,0.000555255,0.0138949,0.00910539,0.00263174,0.00526347,0.00263174,0.00526347,0.00526347,0.0973683,2.601,9.50848,632.632,0,658976000000000.00,7.60098
525,65.1907,16.9941,1.62582,0.594552,0.0458208,2.39981,12.9444,0.05,0.00256344,0.0010681,0.0145821,0.0134459,0.00170896,0.00128172,0.00427239,0,0,0.115821,0,7.35418,501.638,26.9161,180000000000000.00,5.30481
